;text;option_1;option_2;option_3;option_4;N;Type;Order;Keywords
q42776;Have you ever fired a real gun?  For this question, pellet/BB/Nerf/paintball weapons do not qualify.  If so, which most closely describes the deadliest type you have fired?;No.;Rifle / carbine / pistol / shotgun.;Machine gun / fully automatic / assault weapon.;Tank gun / naval gun / anti-tank / other cannon.;21171;N;;descriptive
q42791;Your significant other wants to go to a strip club with a few friends. What are your thoughts on this?;I'm completely against it.;I don't like it, but doesn't bother me that much.;No, I'm not against it at all / I'd go with them.;I would be upset, but I'd let them go.;15219;O;;"preference; descriptive"
q42839;Which of the following learning approaches would you prefer?;Doing and figuring it out myself.;Watching someone else do it.;Listening to someone explain how it's done.;Reading about how it should be done.;11921;N;;descriptive
q42844;When judging people, are you harsher on them than you would be on yourself?;Yes.;No, I use the same standards as for myself.;No, I am harsher on myself.;I do not judge other people.;6460;M;3, 1, 2, [4];descriptive
q42895;If asked, would you share the password to your email account with a significant other?;Yes.;No.;;;15036;O;;descriptive
q42918;What volume level do you usually prefer when listening to music?;Loud or louder.;Somewhere in the middle.;Soft and in the background.;I prefer to not listen to music.;24644;O;;preference
q42932;Have you ever ridden a horse?;Yes, and I enjoyed it.;Yes, but I did not like it.;No, but I would like to some day.;No, and I do not want to.;16773;O;(1, 2), (3, 4);"preference; descriptive"
q42957;Do you use the word 'ain't' in everyday conversation?;Yes;No;;;16349;O;;descriptive
q43237;Would you consider dating someone who works primarily in a formal position as part of an organized spiritual faith?;Yes.;No.;Only if the faith is consistent with my beliefs.;;4908;O;2, 3, 1;"religion/superstition; preference"
q43261;How much influence or control do your parents have over your life?;I am my own person.;I consider their opinion but go my own way.;I almost always do what my parents think is best.;I always do what my parents say.;44620;O;;descriptive
q43295;If you were going to throw a party, which of the following sounds most appealing?;Wine and cheese.;Cocktails and hors d'oeuvres.;Beer and barbeque.;Anything without alcohol.;12845;N;;"preference; opinion"
q43297;Imagine that while browsing profiles on OkCupid, you come across someone you find very attractive, but their pictures violate nudity rules.  Would you flag the pictures for being inappropriate?;Yes, people should not see nudity on OkCupid.;Yes, but not before making a copy.;No, this doesn't bother me.;No, nudity should be allowed and encouraged.;5269;O;;opinion
q43304;Do you get angry when you lose a game?;Usually;Sometimes;Never;;27438;O;;descriptive
q43471;Do you remember dreams that you had as a child?;Yes, only good dreams.;Yes, only bad dreams.;Yes, both good and bad dreams.;No.;9503;O;3, (1, 2), 4;descriptive
q43509;Do you believe in reincarnation?;Yes.;No.;;;20072;O;;religion/superstition
q43510;Would you encourage the love of your life to leave if you knew he or she would be happiest with someone else?;Yes.;No.;;;4857;O;;descriptive
q43545;Do you think it is acceptable to smoke tobacco in front of children?;Yes.;No.;;;6155;O;;"politics; opinion"
q43639;Etymology is...;The study of culinary arts.;The study of insects.;The study of the origins of words.;I don't know.;6198;N;;cognitive
q43682;Consider your skills.  Based on these, would you be able to survive at least a year in a post-apocalyptic world?  Imagine no electricity, no plumbing, no grocery stores, and so on.;Most definitely.;Probably.;Possibly.;No chance.;7780;O;;descriptive
q43727;If your own toothbrush was not available, would you feel comfortable using a partner's toothbrush?;Yes.;No.;It depends on which partner.;;8008;O;2, 3, 1;"descriptive; preference"
q43746;How many live plants do you have in your home?;None.;One or two.;Three to nine.;Ten or more.;12935;O;;descriptive
q43815;Which would be closest to your response if you discovered there were nude pictures of a partner on the internet?;Put an end to this relationship.;Nothing - This is irrelevant.;Encourage the practice - Let all the world see.;Attempt to personally profit with more pictures.;8520;N;;"preference; descriptive"
q43827;Are you comfortable eating with chopsticks?;Yes.;No.;;;16080;O;;descriptive
q43874;Do you feel as though the craziest, most experimental stage of your life is in the past, or has yet to come?;It's in the past.;It's yet to come;I'm living it now.;I haven't and don't plan on having such a stage.;5510;M;2, 3, 1, [4];descriptive
q43962;How often do you read a newspaper?;Every day.;At least once a week.;Less than once a week.;Never.;15936;O;;descriptive
q43965;Which one would hurt you more?;A lover cheating on you;A thief stealing from you;A friend ruining your good name;None of these would affect me;13115;N;;descriptive
q44040;Do you believe you could eventually fall in love with someone whom you have no initial physical attraction to?;Yes.;No.;;;5718;O;;descriptive
q44063;War.  What is it good for?;Absolutely nothing.;Some things.;Many things.;Everything.;4941;O;;"politics; opinion"
q44064;Which would be worse?;Having no way to protect a significant other.;Having no significant other to protect.;;;6762;O;;opinion
q44068;Have you ever sniffed your clothes to decide if you will wear them or not?;No, that's disgusting!;Sometimes / Maybe;I have to... my clothes are mixed up on the floor;No need... I use the hamper and only wear once;2868;O;4, (2, 3), 1;descriptive
q44081;Do you think most people are too politically correct or too politically incorrect?;Most people are too politically correct.;Most people are too politically incorrect.;Most people are fine the way they are.;;2043;O;2, 3, 1;"politics; opinion"
q44133;Which is more appealing?;Order.;Randomness.;;;3325;O;;preference
q44141;You're a medic in combat. Do you help a very seriously wounded enemy or moderately wounded ally?;Ally;Enemy;I'm Not Sure;Would not be in combat/War;4345;M;2, 3, 1, [4];"preference; descriptive"
q44145;Do people tend to turn to you for answers pertaining to subjects you know little about?;Yes.;No.;;;6653;O;;descriptive
q44147;On average, how much alone time do you need each day?;None.;Less than one hour.;One to three hours.;More than three hours.;4186;O;;descriptive
q44255;Would you consider dating a law enforcement officer?;Yes.;No.;;;20047;O;;preference
q44350;You're in a cabin and it is freezing cold.  If you don't start a fire soon, you will surely die.  You only have two flammable items for kindling. Which do you use to get the fire going?;My country's flag.;The only copy of a great and important book.;Neither - I'd rather freeze to death.;Both - I have no hesitation burning either.;7653;O;4, (1, 2), 3;"preference; descriptive"
q44354;Do you enjoy long camping trips? (longer than 3 nights);I don't like to camp.;I've never camped, but would like to.;I like to camp, but not long trips.;I love long camping trips.;27526;O;;preference
q44384;Which best represents your opinion of same-sex relationships?;Girl-on-girl is okay, but guy-on-guy is wrong.;Guy-on-guy is okay, but girl-on-girl is wrong.;All same-sex relationships are wrong.;It's all fine by me.;28836;O;4, (1, 2), 3;politics
q44540;If you were in a serious relationship, would you mind if your significant other maintained an active profile on OkCupid?;Yes - I would mind this.;No - This would not bother me.;;;23911;O;;"preference; descriptive"
q44595;Tattoos on a woman's lower back area:;Sexy;Okay;Tramp stamps;Something I have no opinion on;27939;N;;"preference; opinion"
q44639;Do you like scary movies?;Yes;No;;;54964;O;;preference
q44821;Do you believe that your government should fund embryonic stem cell research that would require the destruction of additional human embryos?;Yes.;No.;I'm not sure.;I don't care.;8123;O;2, (3, 4), 1;"politics; religion/superstition"
q44854;Is it equally bad for a man and woman to cheat on a partner?;Yes.;No, it is worse if a man cheats.;No, it is worse if a woman cheats.;I have no problem with cheating either way.;8945;O;4, (2, 3), 1;"sex/intimacy; opinion"
q44949;Should the recipient give back an engagement ring if the engagement is broken off?;Yes.;No.;Only if the recipient initiates the break up.;;9159;O;2, 3, 1;opinion
q45006;Imagine you have a significant other who reveals they have a video of a sexual encounter from a prior relationship and offers to show it to you.  Would you want to see it?;Yes.;No.;;;28956;O;;"sex/intimacy; preference"
q45124;Which best describes your attitude toward dating?;Dating is something I enjoy for its own sake.;Dating can be fun, but it should lead to more.;I don't like dating, but it's a means to an end.;I do not like dating, period.;5692;O;;preference
q45158;If given the chance to vote on a law supporting assisted suicide, how would you cast your vote?;I'd vote for a law allowing assisted suicide.;I'd vote against a law allowing assisted suicide.;I would not vote on such a law.;How I would vote is my business only.;6433;N;;politics
q45238;Have ever performed CPR on a real person?;Yes.;No, but I've been trained to.;No, and I don't know how to.;;11660;O;;descriptive
q45303;Have you kept any old love letters from ex-lovers?;Yes;No;I've never gotten any to keep.;;14219;M;[3];descriptive
q45421;In long-term relationship, if you could have things go 100% your way in any one of the following areas, which area would you choose?;Family planning & relations with partner's family.;Monetary decisions.;Sex.;Leisure activities.;2056;N;;preference
